user_message,expected_message,generated_message
A1: Pozor! Dolenjska avtocesta je med priključkoma Trebnje in Bič pri Medvedjeku proti Ljubljani zaprta. Obvoz je za osebna vozila možen po regionalni cesti na relaciji Trebnje - Ivančna Gorica. B1: Delo na cesti Do 14. ure bo na gorenjski avtocesti zaprt izvoz Ljubljana Šentvid proti Gorenjski. Na štajerski avtocesti je med predorom Jasovnik in priključkom Trojane proti Ljubljani zaradi nujnih vzdrževanih del zaprt vozni pas na viaduktu Zlokarje. Primorska avtocesta bo zaprta med Črnim Kalom in Srminom v obe smeri do 1. aprila vsako noč med 21. in 5. uro zaradi del v predoru Dekani. V času popolne zapore je obvoz urejen po regionalni cesti Črni Kal – Rižana – Dekani – Srmin.,Na obalni hitri cesti proti Portorožu predmet na cestišču ovira promet med predorom Markovec in priključkom Izola. Na južni ljubljanski obvoznici je zaradi del na razcepu Kozarje zaprt vozni pas iz smeri Viča proti Brezovici.,Generation failed
"B1: Nesreče Zaprta cesta Lenart - Gornja Radgona, pri Spodnjem Porčiču. Mejni prehodi Čakalna doba je na Gruškovju. Delo na cesti Sobota: - Na dolenjski avtocesti zaprt uvoz Novo mesto vzhod proti Obrežju. Obvoz je preko priključka Novo mesto zahod. - Zaprta je cesta Dolenje Kronovo - Dobrava, v Družinski vasi, do 19. ure. Jurklošter - Dežno bo na mostu pri Marijini vasi zaprta do nedelje, do 17. ure. Zaradi vaje v predoru Golo Rebro bo v nedeljo, 22. 5. 2022, od 6. do 13. ure zaprta štajerska avtocesta v obe smeri. Proti Ljubljani med priključkoma Slovenske Konjice in Dramlje, proti Mariboru pa med Celjem center in Slovenskimi Konjicami, v tej smeri bosta zaprta tudi priključka Celje vzhod in Dramlje. Obvoz bo urejen po regionalni cesti Slovenske Konjice - Vojnik - Celje v obe smeri. Na primorski avtocesti bo do 24. junija zaradi gradnje obvoznice na Vrhniki zaprt izvoz Vrhnika iz smeri Kopra. Obvoz je preko priključka Logatec. Prireditve Sobota, popolne zapore: - Maraton treh src, območje Gornje Radgone - Radencev - Murske Sobote do 18:30. Nedelja: - Kolesarska prireditev bo potekala na območju treh občin Cerklje, Komenda in Kamnik","Na primorski avtocesti proti Kopru je zaradi prometne nesreče zaprt prehitevalni pas med priključkoma Brezovica in Vrhnika, nastal je zastoj do Brda na zahodni obvoznici ter do Viča na južni obvoznici. Zgoščen promet je tudi na koncu izolske obvoznice proti Portorožu. Na mejnem prehodu Gruškovje vozniki osebnih vozil na izstop iz države čakajo do 2 uri, na Dragonji, v Sečovljah, na Obrežju, v Starodu ter v Slovenski vasi pa pol ure.",Generation failed
"B1: Ovire Na vipavski hitri cesti je med Ajdovščino in Selom oviran promet, srna na vozišču. Burja Na vipavski hitri cesti velja prepoved prometa za počitniške prikolice, hladilnike in vozila s ponjavami do 8 ton, burja 1. stopnje. Delo na cesti V Ljubljani bo od četrtka, 27. junija, od polnoči do ponedeljka, 1. julija, do 5. ure zaprta Dunajska cesta med Vilharjevo cesto in Trgom OF. Več o delovnih zaporah v prometni napovedi. Tovorna vozila Danes do 22. ure velja omejitev prometa tovornih vozil, katerih največja dovoljena masa presega 7,5 tone. Opozorila Na cesti Koper - Dragonja, pri Grintovcu, po asfaltiranju na cesti ostaja drobno kamenje. Zaradi varnosti je zaprt en prometni pas proti Kopru. Vozite previdno, upoštevajte omejitev hitrosti in varnostno razdaljo!","Zaradi prometne nesreče je na cesti Poljčane - Majšperk pri kraju Strug promet urejen izmenično enosmerno. Okvarjeno vozilo ovira promet na primorski avtocesti pred počivališčem Studenec proti Kopru. Na vipavski hitri cesti je zaradi burje prepovedan promet za počitniške prikolice, hladilnike in vozila s ponjavami, lažja od 8 ton. Danes med 8. in 22. uro velja omejitev prometa tovornih vozil, katerih največja dovoljena masa presega 7 ton in pol.",Generation failed
"B1: Delo na cesti Ponovno sta odprti cesti: - Cerknica - Rakitna, v Cerknici; - Litija - Zagorje, pri Šklendrovcu. Popolne zapore so predvidene še vsako soboto od 18. 2. do septembra. Napoved zapor: - Cesta Podpeč - Brezovica bo zaradi sanacije železniškega prehoda zaprta v Vnanjih Goricah, v nedeljo, 12. 2, med 7. in 19. uro. - Na gorenjski avtocesti v predoru Karavanke bo v torek, sredo in četrtek, 14., 15., in 16. 2., med 8. in 16. uro promet potekal izmenično enosmerno s pol urnim čakanjem pred predorom. Več o delovnih zaporah v prometni napovedi. Vreme Prelaz Vršič je ponovno odprt za osebna vozila z zimskimi pnevmatikami.","Na regionalni cesti Podsreda-Brestanica zaradi zemeljskega plazu promet poteka izmenično enosmerno pri Senovem. 
 
Cesta čez prelaz Vršič je prevozna samo za osebna vozila z verigami.",Generation failed
"B1: Nesreče Na štajerski avtocesti je zaprt vozni pas na razcepu Slivnica iz smeri Ljubljane proti Mariboru. Vreme Ponekod po Sloveniji že sneži, sneg se oprijema vozišča. Voznike opozarjamo, da je na prelazih in ostalih višje ležečih cestah v primeru snega na vozišču obvezna uporaba verig, če tako določajo prometni znaki. Vozite previdno, upoštevajte varnostno razdaljo in prilagodite hitrost razmeram na cestah. Delo na cesti Cesta Sorica - Petrovo Brdo bo zaradi popravila vozišča zaprta do 31. decembra. Več o delovnih zaporah v prometni napovedi.",Pnevmatika na vozišču ovira promet na pomurski avtocesti med priključkoma Vučja vas in Murska Sobota proti Madžarski. Zaradi del pa je promet oviran na vzhodni ljubljanski obvoznici med predorom Strmec in Bizovikom proti Štajerski.,Generation failed
"B1: Zastoji Upočasnjen promet z zastoji je na posameznih odsekih na primorski avtocesti od Postojne proti Ljubljani, zamuda približno 20 minut. Ovire Okvare vozil: - zaprt počasni pas na primorski avtocesti med Senožečami in Nanosom proti Ljubljani; - na primorski avtocesti med Vrhniko in Brezovico proti Ljubljani; - na štajerski avtocesti pred Šentrupertom proti Ljubljani; - na mariborski vzhodni obvoznici med predorom Vodole in Dragučovo proti Dragučovi; - na dolenjski avtocesti med počivališčem Zaloke in Drnovim proti Obrežju. Predmet na štajerski avtocesti pred Šentjakobom proti Celju. Delo na cesti Cesta Ljubljana, Šentvid - Vodice bo v Tacnu na Cesti vstaje zaprta do 11. 6. 2023. Obvoz je po gorenjski avtocesti tudi za vozila brez vinjete, vendar samo med priključkoma Brod in Šmartno v obe smeri. Na dolenjski avtocesti bo predvidoma do 17. junija zaprt priključek Bič proti Novemu mestu. V Ljubljani je na Dunajski cesti na območju nadvoza čez hitro cesto iz vseh smeri možno samo desno zavijanje. Več o delovnih zaporah v prometni napovedi.",nan,Generation failed
"B1: Nesreče Na primorski avtocesti med Črnim Kalom in Dekani proti Kopru je oviran promet. Na štajerski avtocesti med priključkom Slovenska Bistrica sever in počivališčem Polskava proti Mariboru je oviran promet. Ovire Predor Karavanke je proti Sloveniji zaprt zaradi izrednega prevoza. Žival ovira promet na primorski avtocesti na uvozu Brezovica proti Ljubljani. Mejni prehodi Čakalna doba je za tovorna vozila na Gruškovju. Delo na cesti Na primorski avtocesti bo do 24. junija zaradi gradnje obvoznice na Vrhniki zaprt izvoz Vrhnika iz smeri Kopra. Obvoz je preko priključka Logatec. Zaprta cesta Žiče - Slovenske Konjice, v Žičah do 31. maja. Na cesti Ljubljana - Medvode v Mednem bo med 9. in 15. uro promet urejen izmenično enosmerno. Prireditve Danes, 27. maja, bo kolesarska prireditev na cesti Učja - Kobarid - Livek. Več. Do 21. ure je zaprta cesta Šentvid - Šoštanj med Topolšico in Šentvidom.",Na štajerski avtocesti proti Ljubljani je zastoj med priključkoma Krtina in Ljubljana-Šentjakob. Čas potovanja se podaljša za približno 10 minut. Zaradi ovire na vozišču je na gorenjski avtocesti proti Karavankam oviran promet med priključkoma Kranj-vzhod in Kranj-zahod. Glavna cesta Staro selo-Kobarid bo danes do 13-ih zaradi prireditve zaprta v Kobaridu na Markovi ulici.,Generation failed
"B1: Nesreče Oviran promet na štajerski avtocesti med Domžalami in Krtino proti Mariboru. Ovire Okvare vozil: - zaprt počasni pas na štajerski avtocesti pred predorom Pletovarje proti Mariboru; - na štajerski avtocesti med Dramljami in Celjem vzhod proti Ljubljani; - na štajerski avtocesti pred priključkom Šempeter proti Mariboru. Na cesti Kobarid - Tolmin - Ročinj je zaradi razlitja nafte možnost spolzkega vozišča. Vozite previdno! Mejni prehodi Čakalna doba je na mejnih prehodih Obrežje, Dobovec, Gruškovje in Petišovci. Zimske razmere Cesta čez prelaz Vršič je zaprta zaradi nevarnosti snežnih plazov. Dela Na gorenjski avtocesti bo skozi predor Karavanke v torek in sredo, 22. in 23. 2. med 8. in 16. uro, promet potekal izmenično enosmerno, zaradi del na avstrijski strani predora. Regionalna cesta Tržič - Kokrica bo pri Križah zaprta do 14. 3. 2022. Obvoz je urejen na relaciji Golnik - Mlaka pri Kranju - Naklo - Žeje - Zg. Duplje - Križe in obratno. Na cesti Podrošt - Češnjica bodo pri Zalem Logu zaradi poseka drevja od 21. 2. do 28. 2. popolne zapore vsak dan od 9:30 do 10:30, od 11. do 12. ure ter od 12:30 do 13:30.","Zaradi pokvarjenega vozila je na štajerski avtocesti promet oviran med priključkoma Dramlje in Celje-vzhod proti Ljubljani. Zaradi razlite nafte je na glavni cesti Kobarid-Tolmin-Ročinj spolzko cestišče. Voznikom svetujemo, da tam prilagodijo hitrost vožnje in povečajo varnostno razdaljo. Na mejnih prehodih Gruškovje, Obrežje in Petišovci vozniki tovornih vozil na vstop v državo čakajo 2 uri, v Dobovcu pa 1 uro.",Generation failed
"A1: Pozor! Zaprta primorska avtocesta pred predorom Dekani proti Ljubljani zaradi previsokega vozila. Zaprt predor Karavanke proti Sloveniji zaradi okvare vozila. B1: Ovire Na štajerski avtocesti med priključkom Slovenska Bistrica jug in počivališčem Tepanje proti Ljubljani zaprt počasni pas zaradi okvare vozila. Na podravski avtocesti pred razcepom Maribor proti Mariboru predmet na vozišču. Zastoji Na gorenjski avtocesti pred predorom Karavanke proti Avstriji, 3 km. Za Kranjsko Goro priporočamo Jesenice vzhod. Na cesti Lucija - Izola, Šmarje - Koper. Zastoji so tudi na Hrvaškem. Več hak.hr Mejni prehodi Čakalna doba: Sečovlje, Dragonja, Sočerga, Starod, Jelšane, Obrežje in Gruškovje. Delo na cesti Popolne zapore, več: - Cesta Hrastnik - Zidani Most bo zaprta od 2. 9., od 6. ure, do 6. 9. do 21. ure - Na cesti Kranj – Jeprca bo od 3. 9. do 17. 9. popolna zapora. Cesta Bloška Polica - Sodražica, pri Žimaricah je odprta. Ponovno jo zaprejo, v soboto 3. 9. ob 7. uri, do nedelje 4. 9. do 19. ure. Na ljubljanski severni obvoznici potekajo dela med Zadobrovo in Tomačevim.","Gost promet z zastoji je na cestah Bled-Lesce, Šmarje-Koper in Lucija-Strunjan. Na gorenjski avtocesti proti Karavankam je zaradi pokvarjenega vozila promet oviran med počivališčem Radovljica in priključkom Lesce. Vozilo je obtičalo tudi na primorski avtocesti med Razdrtim in Postojno proti Ljubljani. Pred predorom Karavanke je kilometer dolg zastoj proti Avstriji. Na mejnem prehodu Dragonja vozniki osebnih vozil na vstop v državo čakajo do 2 uri, na Obrežju in v Sečovljah 1 uro, v Jelšanah, Starodu in Gruškovju pa do pol ure.",Generation failed
"B1: Ovire Okvare vozil, oviran promet: - na štajerski avtocesti med priključkoma Žalec in Šempeter proti Ljubljani; - na ljubljanski južni obvoznici med počivališčem Barje in priključkom Ljubljana center ter med priključkoma Rudnik in Ljubljana jug proti razcepu Malence. Zastoji Promet je povečan in upočasnjen na cestah proti večjim mestom in na mestnih obvoznicah. Vreme Ponekod po Sloveniji megla v pasovih zmanjšuje vidljivost. Delo na cesti Na regionalni cesti Domžale - Želodnik bo do 24. decembra zaprt montažni most iz smeri Domžal proti Viru. Cesta Pečnik - Marof - Žiri bo pri Žireh zaprta v četrtek, 21. 12., med 7.30 in 14.30. Več o delovnih zaporah v prometni napovedi.",Na obalni hitri cesti zaradi del med priključkoma Bertoki in Semedela promet v obe smeri poteka le po enem prometnem pasu. Prav tako zaradi del promet na regionalni cesti Kranj - Spodnji Brnik  poteka izmenično enosmerno.,Generation failed
"B1: Nesreče Na vipavski hitri cesti med priključkom Vipava in predorom Podnanos, v smeri Razdrtega, oviran promet. Delo na cesti Avtocestna dela: Začela so se dela na obalni hitri cesti, H6 med Semedelo in Izolo proti Portorožu. Promet poteka samo po enem prometnem pasu. Na ljubljanski severni obvoznici bo na odseku Savlje - Tomačevo v naslednjih dneh promet še dodatno oviran zaradi odstranjevanja delovne zapore na nadvozu na Dunajski cesti. Prometna ureditev se bo ves čas spreminjala. Do 15. oktobra pa bo predvidoma vsako noč med 20. in 5. uro promet iz smeri Šiške proti Novim Jaršam potekal samo po enem voznem pasu. Ostala dela: Do 19. oktobra bo v Ljubljani na Tacenski cesti, na Brodu, promet potekal izmenično enosmerno vsak dan med 7. in 17. uro. Do 14. oktobra bodo na cesti Soteska - Črmošnjice, pri Soteski, dnevno med 7. in 15. uro kratkotrajne popolne zapore zaradi sečnje dreves. Več o delovnih zaporah v prometni napovedi.",Zaradi pokvarjenega tovornjaka je na ljubljanski vzhodni obvoznici oviran promet med izvozom in uvozom Bizovik proti Zadobrovi. Zaradi del je na primorski avtocesti zaprt vozni pas pred predorom Kastelec proti Kopru.,Generation failed
"B1: Nesreče Zaradi prometne nesreče je zaprta glavna cesta Ljutomer - Radenci pri avtocestnem priključku Vučja vas. Zastoji Na primorski avtocesti med Uncem in Logatcem, pred delovno zaporo proti Ljubljani. Zamuda 30 minut. Za osebna vozila je možen obvoz po regionalnih cestah med Uncem in Logatcem. Zastoj je nastal tudi na regionalnih cestah Planina - Kalce - Logatec in Unec - Laze - Logatec. Na zahodni in južni ljubljanski obvoznici med razcepom Kozarje in Brdom proti Kosezam. Ovire Na dolenjski avtocesti je oviran promet zaradi pnevmatike pred počivališčem Zaloke proti Obrežju. Delo na cesti Na primorski avtocesti bo med Uncem in Logatcem proti Ljubljani do nedelje do 16. ure zaprt vozni pas. Pričakujemo zastoje. Na zahodni ljubljanski obvoznici bo med razcepom Kozarje in Brdom proti Kosezam zaprt vozni pas do nedelje do 18. ure. Promet poteka samo po prehitevalnem pasu. Zaprta je cesta Ptuj - Središče ob Dravi, v Ormožu. Obvoz. Ostale delovne zapore. Prireditvi Na območju Novega mesta in okolice bodo zaradi kolesarske dirke v nedeljo popoldne na številnih cestah kratkotrajne popolne zapore. Na Gorenjskem bo zaradi prireditve v Planici do nedelje zvečer zaprta cesta Rateče - Planica, na cesti Kranjska Gora - Rateče pa je spremenjen prometni režim.","Na primorski avtocesti je proti Ljubljani nastal približno 8 kilometrov dolg zastoj pred delovno zaporo med Uncem in Logatcem. Čas potovanja se podaljša za približno pol ure. Za voznike osebnih vozil je mogoč obvoz po regionalni cesti Unec - Logatec. Tudi na zahodni ljubljanski obvoznici so zaradi del občasno zastoji med razcepom Kozarje in Brdom proti razcepu Koseze. Na Gorenjskem bo zaradi prireditve v Planici do jutri zvečer zaprta cesta Rateče - Planica, na cesti Kranjska Gora - Rateče pa je spremenjena prometna ureditev.",Generation failed
